symbol,timestamp,observed_utc,n_options,call_oi,put_oi,put_call_oi_ratio,oi_weighted_mark_iv,underlying_price,historical_volatility
SOL-HISTVOL,2026-08-22T09:00:00Z,,,,,,,,56.0134685189536
BTC-HISTVOL,2026-08-22T10:00:00Z,,,,,,,,42.39445608249552
ETH-HISTVOL,2026-08-22T10:00:00Z,,,,,,,,59.18470259781621
SOL-HISTVOL,2026-08-22T10:00:00Z,,,,,,,,56.01494663593007
BTC-HISTVOL,2026-08-22T11:00:00Z,,,,,,,,42.36604565968475
ETH-HISTVOL,2026-08-22T11:00:00Z,,,,,,,,59.18582116500421
SOL-HISTVOL,2026-08-22T11:00:00Z,,,,,,,,55.948536503645975
BTC-HISTVOL,2026-08-22T12:00:00Z,,,,,,,,42.3672453957936
ETH-HISTVOL,2026-08-22T12:00:00Z,,,,,,,,59.21565842005548
SOL-HISTVOL,2026-08-22T12:00:00Z,,,,,,,,56.21704855207647
BTC-HISTVOL,2026-08-22T13:00:00Z,,,,,,,,42.36628876043308
ETH-HISTVOL,2026-08-22T13:00:00Z,,,,,,,,59.252204387276166
SOL-HISTVOL,2026-08-22T13:00:00Z,,,,,,,,56.25586144776639
BTC-HISTVOL,2026-08-22T14:00:00Z,,,,,,,,42.33275053308848
ETH-HISTVOL,2026-08-22T14:00:00Z,,,,,,,,59.11570480000486
SOL-HISTVOL,2026-08-22T14:00:00Z,,,,,,,,56.301367016193225
BTC-HISTVOL,2026-08-22T15:00:00Z,,,,,,,,42.27839633850714
ETH-HISTVOL,2026-08-22T15:00:00Z,,,,,,,,59.071534144936045
SOL-HISTVOL,2026-08-22T15:00:00Z,,,,,,,,56.29971348292347
BTC-HISTVOL,2026-08-22T16:00:00Z,,,,,,,,42.31658333047661
ETH-HISTVOL,2026-08-22T16:00:00Z,,,,,,,,59.114359146248574
SOL-HISTVOL,2026-08-22T16:00:00Z,,,,,,,,56.42000812426436
BTC-HISTVOL,2026-08-22T17:00:00Z,,,,,,,,42.31470182127807
ETH-HISTVOL,2026-08-22T17:00:00Z,,,,,,,,59.10820563816286
SOL-HISTVOL,2026-08-22T17:00:00Z,,,,,,,,56.4169544131716
BTC-HISTVOL,2026-08-22T18:00:00Z,,,,,,,,42.3542599825374
ETH-HISTVOL,2026-08-22T18:00:00Z,,,,,,,,59.11992638840592
SOL-HISTVOL,2026-08-22T18:00:00Z,,,,,,,,56.75053872048644
BTC-HISTVOL,2026-08-22T19:00:00Z,,,,,,,,42.35282703825698
ETH-HISTVOL,2026-08-22T19:00:00Z,,,,,,,,59.120332125249895
SOL-HISTVOL,2026-08-22T19:00:00Z,,,,,,,,56.74135397113931
BTC-HISTVOL,2026-08-22T20:00:00Z,,,,,,,,42.35168308960348
ETH-HISTVOL,2026-08-22T20:00:00Z,,,,,,,,59.11651177417328
SOL-HISTVOL,2026-08-22T20:00:00Z,,,,,,,,56.751186695351365
BTC-HISTVOL,2026-08-22T21:00:00Z,,,,,,,,42.322855439021104
