symbol,timestamp,funding_rate,funding_interval_hours
BTCUSDT,2020-02-23T08:00:00Z,0.0003901,8
ETHUSDT,2020-02-23T08:00:00Z,0.00043317,8
BTCUSDT,2020-02-23T16:00:00Z,0.00065308,8
ETHUSDT,2020-02-23T16:00:00Z,0.00048157,8
BTCUSDT,2020-02-24T00:00:00Z,0.00048774,8
ETHUSDT,2020-02-24T00:00:00Z,0.00054128,8
BTCUSDT,2020-02-24T08:00:00Z,0.00014587,8
ETHUSDT,2020-02-24T08:00:00Z,0.00037142,8
BTCUSDT,2020-02-24T16:00:00Z,0.0001,8
ETHUSDT,2020-02-24T16:00:00Z,0.00020954,8
BTCUSDT,2020-02-25T00:00:00Z,0.00032389,8
ETHUSDT,2020-02-25T00:00:00Z,0.00031422,8
BTCUSDT,2020-02-25T08:00:00Z,0.00027363,8
ETHUSDT,2020-02-25T08:00:00Z,0.00040545,8
BTCUSDT,2020-02-25T16:00:00Z,0.00046949,8
ETHUSDT,2020-02-25T16:00:00Z,0.00052084,8
BTCUSDT,2020-02-26T00:00:00Z,0.0003617,8
ETHUSDT,2020-02-26T00:00:00Z,0.00047129,8
BTCUSDT,2020-02-26T08:00:00Z,0.0005063,8
ETHUSDT,2020-02-26T08:00:00Z,0.00079802,8
BTCUSDT,2020-02-26T16:00:00Z,0.0003866,8
ETHUSDT,2020-02-26T16:00:00Z,0.00071497,8
BTCUSDT,2020-02-27T00:00:00Z,0.00017363,8
ETHUSDT,2020-02-27T00:00:00Z,0.0001,8
BTCUSDT,2020-02-27T08:00:00Z,0.0001,8
ETHUSDT,2020-02-27T08:00:00Z,0.00025833,8
BTCUSDT,2020-02-27T16:00:00Z,0.0001,8
ETHUSDT,2020-02-27T16:00:00Z,0.00010335,8
BTCUSDT,2020-02-28T00:00:00Z,0.0001,8
ETHUSDT,2020-02-28T00:00:00Z,0.00012465,8
BTCUSDT,2020-02-28T08:00:00Z,0.00011659,8
ETHUSDT,2020-02-28T08:00:00Z,0.00025289,8
BTCUSDT,2020-02-28T16:00:00Z,0.00023604,8
ETHUSDT,2020-02-28T16:00:00Z,0.00030522,8
BTCUSDT,2020-02-29T00:00:00Z,0.00061536,8
ETHUSDT,2020-02-29T00:00:00Z,0.00040998,8
BTCUSDT,2020-02-29T08:00:00Z,0.00060166,8
ETHUSDT,2020-02-29T08:00:00Z,0.00055451,8
BTCUSDT,2020-02-29T16:00:00Z,0.00062345,8
ETHUSDT,2020-02-29T16:00:00Z,0.00047771,8
BTCUSDT,2020-03-01T00:00:00Z,0.00049317,8
ETHUSDT,2020-03-01T00:00:00Z,0.00032216,8
BTCUSDT,2020-03-01T08:00:00Z,0.00027933,8
ETHUSDT,2020-03-01T08:00:00Z,0.00018986,8
BTCUSDT,2020-03-01T16:00:00Z,0.00031033,8
ETHUSDT,2020-03-01T16:00:00Z,0.00015628,8
BTCUSDT,2020-03-02T00:00:00Z,0.0001872,8
ETHUSDT,2020-03-02T00:00:00Z,0.00014747,8
BTCUSDT,2020-03-02T08:00:00Z,0.0001,8
ETHUSDT,2020-03-02T08:00:00Z,0.00015638,8
BTCUSDT,2020-03-02T16:00:00Z,0.0001,8
ETHUSDT,2020-03-02T16:00:00Z,0.0001,8
BTCUSDT,2020-03-03T00:00:00Z,0.0001,8
ETHUSDT,2020-03-03T00:00:00Z,0.0001,8
BTCUSDT,2020-03-03T08:00:00Z,0.0001,8
ETHUSDT,2020-03-03T08:00:00Z,0.0001,8
BTCUSDT,2020-03-03T16:00:00Z,0.0001,8
ETHUSDT,2020-03-03T16:00:00Z,0.00031403,8
BTCUSDT,2020-03-04T00:00:00Z,0.0001,8
ETHUSDT,2020-03-04T00:00:00Z,0.00030731,8
BTCUSDT,2020-03-04T08:00:00Z,0.0001,8
ETHUSDT,2020-03-04T08:00:00Z,0.00030432,8
BTCUSDT,2020-03-04T16:00:00Z,0.00024328,8
ETHUSDT,2020-03-04T16:00:00Z,0.00032821,8
BTCUSDT,2020-03-05T00:00:00Z,0.0001,8
ETHUSDT,2020-03-05T00:00:00Z,0.00029022,8
BTCUSDT,2020-03-05T08:00:00Z,0.00023481,8
ETHUSDT,2020-03-05T08:00:00Z,0.00039893,8
BTCUSDT,2020-03-05T16:00:00Z,0.00019521,8
ETHUSDT,2020-03-05T16:00:00Z,0.00036018,8
BTCUSDT,2020-03-06T00:00:00Z,0.00020373,8
ETHUSDT,2020-03-06T00:00:00Z,0.0003738,8
BTCUSDT,2020-03-06T08:00:00Z,0.00021759,8
ETHUSDT,2020-03-06T08:00:00Z,0.0001,8
BTCUSDT,2020-03-06T16:00:00Z,0.00035706,8
ETHUSDT,2020-03-06T16:00:00Z,0.0001,8
BTCUSDT,2020-03-07T00:00:00Z,0.00039476,8
ETHUSDT,2020-03-07T00:00:00Z,0.0001,8
BTCUSDT,2020-03-07T08:00:00Z,0.00032086,8
ETHUSDT,2020-03-07T08:00:00Z,0.0001,8
BTCUSDT,2020-03-07T16:00:00Z,0.00032714,8
ETHUSDT,2020-03-07T16:00:00Z,0.00013739,8
BTCUSDT,2020-03-08T00:00:00Z,0.00054685,8
ETHUSDT,2020-03-08T00:00:00Z,0.00032347,8
BTCUSDT,2020-03-08T08:00:00Z,0.00049747,8
ETHUSDT,2020-03-08T08:00:00Z,0.0004582,8
BTCUSDT,2020-03-08T16:00:00Z,0.00042921,8
ETHUSDT,2020-03-08T16:00:00Z,0.00037933,8
BTCUSDT,2020-03-09T00:00:00Z,0.0001,8
