id,rule,base,context,ticker,n_events,n,win_pct,stop_pct,net_all,net_counted,ex_best,folds_pos,folds_counted,total_R,maxDD_R,worst_streak
112,roc60_zero+btc_above_sma200,roc60_zero,btc_above_sma200,ETH,12,16,25.0,75.0,-0.30174999999999996,,,1,1,-4.8279999999999985,7.239999999999998,8
113,roc60_zero+lowvol,roc60_zero,lowvol,ETH,21,25,44.0,56.00000000000001,0.27675999999999995,,,1,1,6.9190000000000005,4.209,4
114,ttm_release+none,ttm_release,none,ETH,28,29,34.48275862068966,65.51724137931035,-0.0009655172413792959,,,0,1,-0.02799999999999958,6.315,6
115,ttm_release+above_sma200,ttm_release,above_sma200,ETH,13,14,28.57142857142857,71.42857142857143,-0.18657142857142858,,,0,1,-2.612,5.275,5
116,ttm_release+btc_above_sma200,ttm_release,btc_above_sma200,ETH,10,11,27.27272727272727,72.72727272727273,-0.2334545454545455,,,0,1,-2.5680000000000005,5.275,5
117,ttm_release+lowvol,ttm_release,lowvol,ETH,18,19,26.31578947368421,73.68421052631578,-0.2519473684210527,,,0,1,-4.787,6.315,6
118,nr7+none,nr7,none,ETH,165,174,30.45977011494253,68.96551724137932,-0.11184482758620687,-0.11184482758620684,-0.15637404580152667,1,4,-19.460999999999995,23.689999999999994,9
119,nr7+above_sma200,nr7,above_sma200,ETH,70,74,27.027027027027028,71.62162162162163,-0.2117567567567567,-0.21175675675675676,-0.21258064516129033,0,3,-15.669999999999996,21.038999999999998,11
120,nr7+btc_above_sma200,nr7,btc_above_sma200,ETH,56,60,30.0,70.0,-0.1355833333333333,,,0,2,-8.135,17.13,9
121,nr7+lowvol,nr7,lowvol,ETH,88,96,32.29166666666667,67.70833333333334,-0.06684374999999998,-0.06684374999999997,-0.10901190476190474,2,4,-6.416999999999999,13.802999999999999,7
122,nr4+none,nr4,none,ETH,280,306,32.35294117647059,67.3202614379085,-0.05588888888888887,-0.05588888888888887,-0.16533620689655168,2,4,-17.10199999999995,50.58199999999998,15
123,nr4+above_sma200,nr4,above_sma200,ETH,119,126,26.190476190476193,73.01587301587301,-0.24116666666666664,-0.22850806451612898,-0.3280849056603773,1,3,-30.387000000000008,39.88100000000001,14
