n_events,seed,BTC_net,BTC_ex,BTC_n,ETH_net,ETH_ex,ETH_n,SOL_net,SOL_ex,SOL_n
20,10,-0.3284761904761905,,21,0.10890476190476192,,21,0.21742857142857147,,21
20,11,0.025150000000000027,,20,0.18000000000000002,,20,0.03835000000000004,,20
20,12,-0.0803333333333333,,21,-0.421047619047619,,21,0.15795238095238107,,21
20,13,0.46315,,20,0.021550000000000014,,20,0.18660000000000002,,20
20,14,-0.13729999999999998,,20,-0.2792499999999999,,20,-0.11310000000000002,,20
20,15,-0.31938095238095243,,21,-0.02885714285714284,,21,-0.22571428571428567,,21
20,16,0.16052380952380954,,21,-0.3231428571428571,,21,-0.021333333333333277,,21
20,17,0.010050000000000003,,20,-0.282,,20,-0.3280499999999999,,20
20,18,0.16830000000000003,,20,0.17435000000000006,,20,0.23310000000000003,,20
20,19,-0.28325,,20,0.022950000000000036,,20,-0.11979999999999995,,20
20,20,0.16550000000000004,,20,0.1721000000000001,,20,-0.21419999999999995,,20
20,21,0.06542105263157898,,19,0.07057894736842107,,19,0.08826315789473686,,19
20,22,-0.17919999999999991,,20,-0.42525,,20,-0.41489999999999994,,20
20,23,-0.58335,,20,-0.42794999999999994,,20,-0.27135,,20
20,24,0.10576190476190477,,21,-0.461047619047619,,21,-0.15999999999999995,,21
20,25,-0.1272,,20,-0.12229999999999994,,20,-0.11335000000000002,,20
20,26,0.3218500000000001,,20,0.17690000000000006,,20,0.6409,,20
20,27,-0.3974736842105263,,19,-0.2329473684210526,,19,0.40910526315789475,,19
20,28,-0.4632380952380952,,21,-0.3163809523809523,,21,-0.028523809523809524,,21
20,29,-0.27625,,20,0.02855000000000002,,20,0.17955,,20
20,30,0.31835,,20,0.32380000000000003,,20,0.92515,,20
20,31,-0.2820999999999999,,20,0.022950000000000102,,20,-0.03764999999999989,,20
20,32,0.3151999999999999,,20,0.3194500000000001,,20,0.02575000000000003,,20
20,33,0.16735000000000003,,20,0.3226000000000001,,20,-0.019799999999999963,,20
20,34,-0.14859999999999998,,20,0.017150000000000044,,20,-0.12349999999999998,,20
20,35,-0.13145000000000004,,20,-0.27595,,20,0.03765000000000006,,20
20,36,0.016200000000000037,,20,-0.12804999999999997,,20,0.33175,,20
20,37,0.3847894736842105,,19,0.07884210526315794,,19,0.23552631578947375,,19
20,38,0.16765000000000002,,20,0.47535,,20,0.33945,,20
20,39,-0.4673333333333333,,21,-0.02890476190476186,,21,0.21423809523809526,,21
20,40,-0.13449999999999993,,20,-0.27685,,20,-0.26759999999999995,,20
20,41,-0.13574999999999998,,20,0.019000000000000006,,20,0.030200000000000015,,20
20,42,-0.4286499999999999,,20,0.02640000000000007,,20,0.3778,,20
20,43,-0.57805,,20,-0.2713499999999999,,20,-0.03125,,20
20,44,-0.13964999999999997,,20,0.1658,,20,0.33020000000000005,,20
20,45,0.6831904761904761,,21,0.40357142857142864,,21,0.495047619047619,,21
20,46,-0.18295238095238092,,21,-0.03247619047619049,,21,-0.1635238095238095,,21
20,47,0.32495,,20,0.48000000000000015,,20,0.3284,,20
20,48,-0.43394999999999995,,20,-0.42899999999999994,,20,-0.41819999999999996,,20
20,49,-0.07594999999999999,,20,0.02030000000000003,,20,0.1824,,20
20,50,-0.2869999999999999,,20,-0.42969999999999986,,20,0.3317000000000001,,20
20,51,0.31344999999999995,,20,0.021250000000000026,,20,0.33565,,20
20,52,-0.5882499999999999,,20,-0.43075,,20,0.030300000000000014,,20
20,53,-0.030952380952380905,,21,-0.025142857142857144,,21,-0.16242857142857145,,21
20,54,0.010399999999999975,,20,-0.13205,,20,0.23635,,20
20,55,-0.24773684210526312,,19,-0.08357894736842102,,19,-0.23673684210526313,,19
20,56,0.016400000000000005,,20,-0.2764499999999999,,20,-0.5682000000000001,,20
20,57,0.36400000000000005,,20,0.3247000000000001,,20,-0.0816999999999999,,20
20,58,-0.28384999999999994,,20,-0.27749999999999997,,20,-0.2712,,20
20,59,-0.46742857142857136,,21,-0.3179523809523809,,21,-0.16152380952380946,,21
20,60,-0.1326,,20,0.023900000000000053,,20,-0.12524999999999992,,20
20,61,-0.209,,22,-0.4775,,22,-0.1409090909090909,,22
20,62,-0.58355,,20,-0.5779,,20,-0.2694499999999999,,20
20,63,0.02010000000000004,,20,0.32545,,20,0.47335000000000005,,20
20,64,-0.8539999999999999,,20,-0.42175,,20,-0.5649,,20
20,65,-0.14785714285714283,,21,-0.02242857142857139,,21,-0.016857142857142775,,21
20,66,-0.03733333333333328,,21,0.397952380952381,,21,0.12438095238095247,,21
20,67,-0.6049523809523809,,21,-0.4561904761904762,,21,-0.4453333333333332,,21
20,68,-0.4126499999999999,,20,-0.13014999999999996,,20,-0.11699999999999995,,20
20,69,0.1688500000000001,,20,0.32775000000000004,,20,-0.11534999999999998,,20
20,70,-0.27604999999999996,,20,-0.27229999999999993,,20,0.04050000000000007,,20
20,71,-0.461095238095238,,21,-0.31100000000000005,,21,-0.5874761904761905,,21
20,72,-0.13099999999999998,,20,-0.12419999999999998,,20,-0.2651,,20
20,73,0.12350000000000005,,20,0.02960000000000006,,20,0.036050000000000026,,20
20,74,-0.18485714285714283,,21,-0.4626190476190476,,21,-0.020095238095238027,,21
20,75,-0.4326499999999999,,20,0.023150000000000004,,20,-0.11769999999999996,,20
20,76,0.16295,,20,0.17120000000000007,,20,0.18370000000000006,,20
20,77,-0.28345000000000004,,20,0.17225000000000004,,20,0.2226,,20
20,78,0.26965000000000006,,20,0.0225,,20,-0.06679999999999996,,20
20,79,0.10128571428571435,,21,0.3988571428571429,,21,0.18504761904761904,,21
20,80,0.16465000000000002,,20,0.020500000000000063,,20,0.18470000000000003,,20
20,81,0.2548571428571429,,21,0.40147619047619054,,21,0.11319047619047622,,21
20,82,0.12515789473684216,,19,-0.23894736842105258,,19,-0.5448947368421053,,19
20,83,-0.03361904761904762,,21,-0.026380952380952342,,21,-0.15909523809523807,,21
20,84,0.01325000000000004,,20,0.46975000000000006,,20,-0.16465,,20
20,85,-0.15344999999999998,,20,-0.12209999999999992,,20,-0.1214,,20
20,86,0.014100000000000067,,20,0.20715000000000003,,20,0.18415000000000006,,20
20,87,-0.13365,,20,0.17245000000000002,,20,0.17385,,20
20,88,0.0663,,20,-0.1285,,20,-0.41869999999999996,,20
